,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
610,Kaique Rocha,br BRA,DF,Internacional,20,2001,5.0,221,213,8,8,0,0,1,0,0,0,0,0,184,0,1,Matches,b31d385e
611,Marcos Rocha,br BRA,DF,Palmeiras,33,1988,25.0,2045,1732,303,78,4,36,40,217,2,0,0,0,1645,10,29,Matches,fdd2f275
612,Pedro Rocha Neves,br BRA,FW,Atl Paranaense,27,1994,3.1,74,66,7,0,0,0,9,2,4,3,1,0,50,1,5,Matches,b33e0095
613,Pedro Rocha Neves,br BRA,FWMF,Fortaleza,27,1994,7.7,164,157,6,1,4,0,12,2,3,2,1,0,114,1,5,Matches,b33e0095
614,Rodinei,br BRA,DF,Flamengo,30,1992,9.8,601,521,79,4,0,0,44,74,1,0,1,0,493,1,14,Matches,7696cc85
615,Rodrigo,br BRA,FWMF,São Paulo,17,2004,0.8,37,37,0,0,0,0,0,0,0,0,0,0,29,0,1,Matches,1126f4e2
616,Rodrigo,br BRA,DF,Avaí,23,1998,5.3,287,275,11,9,0,1,2,2,0,0,0,0,249,1,2,Matches,cdfb04f5
617,Élton Rodrigues Brandão,br BRA,FW,Cuiabá,36,1985,3.3,77,72,5,0,0,0,4,0,0,0,0,0,55,0,1,Matches,e59be3c8
618,Raphael Rodrigues,br BRA,DF,Avaí,23,1999,1.4,96,93,3,3,0,0,0,0,0,0,0,0,84,0,1,Matches,548640cf
619,Rodriguinho,br BRA,MF,América (MG),18,2003,2.1,84,73,11,3,0,5,10,0,8,3,4,0,66,0,1,Matches,4565dde3
620,Romarinho,br BRA,FWMF,Fortaleza,27,1994,14.6,464,444,19,1,2,3,40,5,12,4,6,0,359,1,14,Matches,1e7d2cc0
621,Braian Romero,ar ARG,FW,Internacional,30,1991,3.8,64,57,6,0,0,0,2,2,0,0,0,0,45,1,5,Matches,c5cc3130
622,Silvio Romero,ar ARG,FW,Fortaleza,33,1988,12.9,221,192,26,1,2,0,5,4,0,0,0,0,161,3,11,Matches,6a00c4b0
623,Rômulo,br BRA,FW,Atl Paranaense,19,2002,13.3,284,273,8,0,1,1,5,1,0,0,0,0,191,3,14,Matches,03dd053e
624,Romulo,br BRA,DF,Juventude,21,2000,1.9,95,75,19,0,0,0,6,19,0,0,0,0,55,1,3,Matches,395e0e95
625,Rômulo,br BRA,FWMF,Avaí,26,1995,4.7,140,128,12,3,2,0,7,4,0,0,0,0,100,0,6,Matches,9a6eb94c
626,Ronald,br BRA,MFFW,Fortaleza,24,1997,11.7,408,394,11,4,0,1,10,5,2,1,0,0,332,3,14,Matches,cc119c66
627,Ronaldo,br BRA,GK,Atl Goianiense,25,1996,18.0,493,331,162,31,0,1,0,0,0,0,0,0,389,0,0,Matches,711c08dc
628,Budiga Roni,br BRA,MF,Corinthians,22,1999,8.3,350,342,6,3,0,3,5,0,0,0,0,0,290,2,9,Matches,af433614
629,Rony,br BRA,FW,Palmeiras,26,1995,26.5,384,358,25,2,1,7,32,7,0,0,0,0,248,1,15,Matches,bffd5e50
630,Vitor Roque,br BRA,FW,Atl Paranaense,16,2005,14.6,143,122,21,1,0,0,3,0,0,0,0,0,99,0,4,Matches,cb00f1e6
631,Ruan,br BRA,FWMF,Juventude,16,2005,2.5,49,48,1,0,0,0,5,0,0,0,0,0,35,0,2,Matches,07c41bf4
632,Rubens,br BRA,DFMF,Atlético Mineiro,20,2001,13.7,566,507,58,5,0,1,46,52,1,0,0,0,424,1,23,Matches,ae23d044
633,Óscar Ruiz,py PAR,MFFW,Juventude,30,1991,11.0,270,247,22,5,1,3,29,8,8,5,3,0,187,1,8,Matches,620ce7b1
634,Rwan,br BRA,FWMF,Santos,20,2001,5.2,146,137,7,2,1,0,6,0,0,0,0,0,100,2,8,Matches,568a75fd
635,João Victor Santos Sá,br BRA,FW,Botafogo (RJ),27,1994,19.4,603,580,22,5,2,4,35,15,0,0,0,0,467,1,20,Matches,1a1033a1
636,Matheus Sales,br BRA,MFDF,Goiás,26,1995,19.9,504,494,9,7,0,2,13,1,0,0,0,0,393,1,13,Matches,c3c175c4
637,Philipe Sampaio,br BRA,DF,Botafogo (RJ),27,1994,12.5,690,675,15,15,0,7,1,0,0,0,0,0,601,0,4,Matches,72733d93
638,Carlos Sánchez,uy URU,MF,Santos,37,1984,8.7,370,305,65,22,0,4,63,5,38,10,24,0,251,0,8,Matches,a6dbad80
639,Sandry,br BRA,MF,Santos,19,2002,7.7,535,506,27,15,3,8,20,2,10,4,3,0,450,2,2,Matches,8ceeabef
640,Alex Santana,br BRA,MF,Atl Paranaense,26,1995,9.9,353,345,7,5,1,3,0,1,0,0,0,0,313,1,6,Matches,e75dc411
641,Santos,br BRA,GK,Flamengo,31,1990,19.0,562,404,157,21,0,1,0,0,0,0,0,0,437,1,0,Matches,b8d0b69c
642,Ademir Santos,br BRA,FWMF,Atlético Mineiro,26,1995,16.6,452,427,22,4,1,3,45,6,12,4,3,0,338,3,21,Matches,4b7d58c2
643,Chayene Santos,br BRA,MFFW,Botafogo (RJ),31,1990,6.5,212,191,20,9,1,1,17,4,5,2,2,0,164,1,9,Matches,64a427b4
644,Fábio Santos,br BRA,DF,Corinthians,36,1985,17.4,1302,1115,187,36,1,4,33,151,0,0,0,0,1110,0,24,Matches,d0d786fd
645,Guilherme Santos,br BRA,FWMF,Bragantino,20,2001,0.5,11,9,1,0,0,1,0,0,0,0,0,0,5,1,0,Matches,6eae9de6
646,Gustavo Santos,br BRA,FW,Avaí,19,2002,0.2,,,,,,,1,,,,,,,,,Matches,93913c8e
647,Juan Santos,br BRA,FW,São Paulo,19,2002,0.6,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches,ad89aa96
648,Júnior Santos,br BRA,FWMF,Botafogo (RJ),27,1994,11.9,292,286,4,0,0,1,15,1,0,0,0,0,208,2,13,Matches,9109e933
649,Luis Eduardo Marques dos Santos,br BRA,DF,Atl Goianiense,24,1997,18.2,921,688,230,25,2,4,72,191,14,1,13,0,708,3,19,Matches,5c5a0d4d
650,Matheus Santos,br BRA,MF,Goiás,23,1998,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,48125180
651,Rafael Santos,br BRA,DF,Coritiba,23,1998,12.7,532,385,144,14,0,2,72,107,23,8,13,0,354,3,16,Matches,c72a6057
652,Mateus Sarará,br BRA,MF,Avaí,19,2002,4.8,261,257,2,2,0,2,1,0,0,0,0,0,212,2,1,Matches,1b4c1c9c
653,Renzo Saravia,ar ARG,DFMF,Botafogo (RJ),28,1993,20.2,943,745,197,19,0,1,46,176,2,0,2,0,707,1,29,Matches,cf316639
654,Eduardo Sasha,br BRA,FWMF,Atlético Mineiro,29,1992,14.3,422,403,16,2,1,3,9,1,0,0,0,0,339,3,9,Matches,b938b871
655,Lucas Sasha,br BRA,MF,Fortaleza,31,1990,14.1,507,501,6,5,1,1,8,1,0,0,0,0,405,0,10,Matches,2e2ec9cf
656,Gustavo Sauer,br BRA,FWMF,Botafogo (RJ),28,1993,3.2,104,84,19,7,1,2,7,8,4,0,1,0,76,1,4,Matches,fd53959e
657,Jefferson Savarino,ve VEN,FW,Atlético Mineiro,25,1996,1.0,38,38,0,0,0,0,3,0,0,0,0,0,29,0,1,Matches,91721722
658,Sávio,br BRA,FWMF,Atlético Mineiro,17,2004,2.4,78,75,3,3,1,3,7,0,0,0,0,0,59,0,1,Matches,fe6e7156
659,Savio,br BRA,DF,Goiás,26,1995,9.4,461,313,146,35,0,5,54,95,16,5,8,0,311,2,15,Matches,3e8c6e2c
660,Gustavo Scarpa,br BRA,MFFW,Palmeiras,28,1994,28.6,1441,1110,322,59,7,41,342,52,211,93,76,1,971,9,28,Matches,2964fd20
661,Cleiton Schwengber,br BRA,GK,Bragantino,24,1997,37.0,1240,894,340,60,0,14,0,0,0,0,0,0,907,6,0,Matches,d24ae824
662,Shaylon,br BRA,FWMF,Atl Goianiense,24,1997,15.0,673,608,64,15,2,4,74,18,31,15,13,0,537,1,12,Matches,69c11ef0
663,Sidcley,br BRA,DFMF,Cuiabá,28,1993,3.7,175,153,21,0,0,2,6,20,1,0,1,0,140,1,2,Matches,a5e96539
664,Sidimar,br BRA,DF,Goiás,29,1992,5.0,108,97,11,10,0,1,0,0,0,0,0,0,94,0,0,Matches,080fc1f0
665,Sidnei,br BRA,DF,Goiás,32,1989,3.3,72,66,6,5,0,0,0,1,0,0,0,0,58,0,1,Matches,b14d0c5d
666,Pablo Siles,uy URU,MF,Atl Paranaense,24,1997,1.8,60,58,2,1,0,2,2,1,0,0,0,0,48,0,1,Matches,cca1e0b5
667,Aderlan Silva,br BRA,DF,Bragantino,31,1990,29.7,1584,1257,323,29,2,15,159,269,24,18,1,2,1150,4,37,Matches,48371573
668,Bruno Silva,br BRA,MF,Avaí,35,1986,28.9,1387,1347,37,35,2,3,14,1,0,0,0,0,1162,3,16,Matches,6efbf91e
669,Da Silva,br BRA,DF,Goiás,20,2001,6.3,226,220,4,3,0,6,0,1,0,0,0,0,186,2,1,Matches,4772a037
670,Cristiano da Silva Leite,br BRA,DF,Fluminense,28,1993,8.3,465,385,79,7,1,1,48,68,4,2,1,1,343,1,13,Matches,2567b7b6
671,Felipe Silva Lipe,br BRA,DF,Avaí,19,2002,3.0,109,105,4,3,0,0,0,0,0,0,0,0,94,0,1,Matches,6b2bfcda
672,Lucas Silva,br BRA,FWMF,Avaí,24,1998,1.2,30,30,0,0,0,0,3,0,0,0,0,0,19,0,2,Matches,aa47c6ce
673,Marcão Silva,br BRA,MFDF,Cuiabá,31,1991,14.1,425,400,23,4,0,8,1,19,0,0,0,0,359,2,6,Matches,e7f8bf4a
674,Márcio Silva,br BRA,DF,Coritiba,20,2001,2.0,42,36,6,6,0,3,0,0,0,0,0,0,35,0,0,Matches,7ee2ea5b
675,Nathan Silva,br BRA,DF,Atlético Mineiro,24,1997,19.2,1133,1093,40,38,0,6,2,2,0,0,0,0,1022,0,8,Matches,369d907c
676,Ricardo Silva,br BRA,DF,América (MG),29,1992,8.3,294,282,12,11,0,6,0,1,0,0,0,0,227,0,4,Matches,a5075276
677,Miguel Silveira,br BRA,MFFW,Bragantino,18,2003,6.3,191,161,29,11,0,4,32,2,16,13,2,0,121,1,12,Matches,281942c4
678,Vinicius Silvestre,br BRA,GK,Palmeiras,27,1994,1.0,20,16,4,0,0,0,0,0,0,0,0,0,16,0,0,Matches,1944518a
679,Jailson Siqueira,br BRA,MF,Palmeiras,26,1995,0.2,14,12,2,1,0,0,3,0,1,1,0,0,7,0,0,Matches,b4819112
680,Everton Soares,br BRA,FWMF,Flamengo,25,1996,15.7,498,477,21,5,5,2,47,3,13,13,0,0,375,0,16,Matches,b1cbc666
681,Tiquinho Soares,br BRA,FW,Botafogo (RJ),31,1991,13.7,343,325,16,5,0,6,6,0,0,0,0,0,234,2,14,Matches,4d982baf
682,Fernando Sobral,br BRA,MF,Ceará,27,1994,11.2,560,541,18,12,3,11,9,6,0,0,0,0,453,1,8,Matches,c012aacd
683,Yeferson Soteldo,ve VEN,FWMF,Santos,24,1997,6.3,234,214,17,4,4,2,38,0,13,5,4,0,164,3,8,Matches,bbb6c951
684,Yan Souto,br BRA,DF,Goiás,20,2001,6.8,229,224,4,4,0,3,1,0,0,0,0,0,164,1,0,Matches,2dffc479
685,Hugo Souza,br BRA,GK,Flamengo,23,1999,14.3,339,244,93,11,0,0,0,0,0,0,0,0,266,2,0,Matches,c02e5af1
686,Igor Vinícius de Souza,br BRA,DFFW,São Paulo,24,1997,12.9,730,573,156,3,0,2,57,132,21,4,17,0,572,1,21,Matches,ec95088d
687,Bruno Tabata,br BRA,FW,Palmeiras,24,1997,5.2,,,,,,,15,,,,,,,,,Matches,33fdf90d
688,Tadeu,br BRA,GK,Goiás,29,1992,38.0,1316,798,515,132,0,5,0,0,0,0,0,0,868,3,1,Matches,8445554f
689,Tailson,br BRA,FWDF,Santos,22,1999,0.4,23,23,0,0,0,2,0,0,0,0,0,0,17,0,0,Matches,200b381d
690,Taison,br BRA,MFFW,Internacional,34,1988,8.1,421,404,17,9,4,1,13,0,7,5,0,0,369,0,4,Matches,7272a72a
691,Tchê Tchê,br BRA,MF,Botafogo (RJ),29,1992,25.7,1104,1056,46,44,3,7,6,2,0,0,0,0,969,2,12,Matches,5f2caf8f
692,David Terans,uy URU,MF,Atl Paranaense,27,1994,22.3,773,635,135,37,4,11,102,8,72,31,20,0,550,3,15,Matches,d3d89d8d
693,Miguel Terceros,bo BOL,FW,Santos,17,2004,0.3,20,20,0,0,0,0,2,0,0,0,0,0,19,0,0,Matches,d66ed604
694,Thiago,br BRA,GK,São Paulo,22,1999,2.7,100,78,21,2,0,1,0,0,0,0,0,0,82,1,0,Matches,602d20ae
695,Guilherme Tinga,br BRA,DF,Fortaleza,28,1993,13.1,708,572,133,14,1,7,28,118,1,0,1,0,455,3,17,Matches,a8331ab0
696,Titi,br BRA,DF,Fortaleza,33,1988,31.1,1130,1060,68,53,0,6,2,15,0,0,0,0,908,2,9,Matches,ea41ddf7
697,Igor Torres,br BRA,FWMF,Fortaleza,21,2000,0.1,8,7,1,0,0,0,1,0,0,0,0,0,5,0,0,Matches,cc9b11b1
698,Jesús Trindade,uy URU,MF,Coritiba,28,1993,14.6,733,669,60,41,1,16,41,1,18,2,16,0,595,4,8,Matches,066e9f5d
699,Bruno Tubarão,br BRA,FWMF,Bragantino,26,1995,5.0,168,166,2,0,0,0,26,2,0,0,0,0,111,0,8,Matches,5411ef4f
700,Uendel,br BRA,DF,Cuiabá,33,1988,14.7,818,648,167,25,0,2,49,135,7,3,3,0,617,3,18,Matches,0bd9e045
701,Valdemir,br BRA,MF,Coritiba,24,1997,6.9,370,355,12,8,1,10,12,2,2,1,0,0,298,3,6,Matches,82cca681
702,Valdívia,br BRA,MFFW,Cuiabá,27,1994,15.4,507,478,28,10,2,0,63,1,16,9,7,0,378,1,22,Matches,e12be458
703,Vanderlan,br BRA,DF,Palmeiras,19,2002,7.2,324,275,49,8,0,0,25,41,0,0,0,0,254,0,9,Matches,bd8432ff
704,Guillermo Varela,uy URU,DF,Flamengo,28,1993,2.9,131,109,21,3,0,0,5,18,0,0,0,0,108,1,3,Matches,5c961282
705,Eduardo Vargas,cl CHI,FW,Atlético Mineiro,32,1989,12.7,485,469,15,1,0,8,5,4,1,0,0,0,405,1,7,Matches,bd603c00
706,Matheus de Vargas,br BRA,MF,Fortaleza,25,1996,4.6,136,134,2,0,0,1,5,1,0,0,0,0,94,0,4,Matches,e43a07d4
707,Jhon Vasquez,co COL,FWMF,Ceará,26,1995,4.6,132,128,4,3,0,1,18,1,0,0,0,0,83,0,12,Matches,b6832e5e
708,Rafael Vaz,br BRA,DF,Avaí,33,1988,15.5,850,793,54,52,2,19,8,1,0,0,0,0,668,3,1,Matches,244fc074
709,Raphael Veiga,br BRA,MF,Palmeiras,26,1995,14.0,522,467,53,9,0,5,42,2,26,10,8,0,422,2,14,Matches,6e5a3bc7
710,Emiliano Velázquez,uy URU,DF,Santos,27,1994,6.0,348,338,9,8,0,2,1,1,0,0,0,0,300,1,3,Matches,5efb80d5
711,Fausto Vera,ar ARG,MF,Corinthians,21,2000,14.5,1009,983,26,19,1,13,4,7,0,0,0,0,886,0,8,Matches,8b3b381b
712,Gabriel Veron,br BRA,FWMF,Palmeiras,19,2002,6.3,138,128,10,1,1,0,6,9,0,0,0,0,109,0,4,Matches,6bc49da7
713,João Vialle,br BRA,DF,Atl Paranaense,19,2002,0.3,17,15,2,1,0,0,0,1,0,0,0,0,15,0,0,Matches,c63a8bf0
714,João Victor,br BRA,MF,Ceará,17,2004,0.2,13,12,1,1,0,0,0,0,0,0,0,0,10,0,0,Matches,e78d763e
715,João Victor,br BRA,DF,Corinthians,23,1998,5.4,297,283,14,11,0,4,0,3,0,0,0,0,263,0,3,Matches,d60cf08d
716,Marcos Victor,br BRA,DF,Ceará,20,2001,4.0,190,184,6,6,0,0,0,0,0,0,0,0,173,0,2,Matches,d714fc5a
717,Arturo Vidal,cl CHI,MF,Flamengo,34,1987,9.3,773,728,44,24,2,9,17,8,12,10,0,0,690,1,4,Matches,67cdbc0e
718,Caio Vidal,br BRA,FWMF,Internacional,21,2000,1.7,15,15,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches,599ab970
719,Elvis Vieira Araújo,br BRA,MFFW,Goiás,31,1990,9.4,551,449,97,49,3,9,71,4,36,17,17,0,404,5,9,Matches,b5391b63
720,Gabriel Vieira,br BRA,FW,Palmeiras,19,2002,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,63904ba9
721,Luan Vieira,br BRA,MFFW,Santos,28,1993,5.0,263,239,24,9,0,1,15,1,13,8,4,0,229,0,2,Matches,c4f6bf06
722,Marcos Vinicios Sorriso,br BRA,FW,Bragantino,20,2001,15.0,458,452,3,0,1,1,61,3,0,0,0,0,299,3,28,Matches,e816a8ee
723,Vinícius,br BRA,FWMF,Ceará,30,1991,26.7,1268,1086,174,45,9,19,160,6,109,45,54,1,933,8,15,Matches,ee01c84d
724,Vinicius,br BRA,MFDF,Santos,22,1999,0.8,30,27,3,0,0,0,2,3,0,0,0,0,19,0,0,Matches,ab3ef9c4
725,Vinícius,br BRA,MFFW,Goiás,28,1993,21.7,573,550,15,0,2,6,59,10,0,0,0,0,367,8,31,Matches,b6bd2b80
726,Vinícius,br BRA,FW,Botafogo (RJ),22,1999,9.7,188,183,5,0,0,0,10,2,0,0,0,0,140,0,5,Matches,ecce7383
727,Vinicius,br BRA,MF,Cuiabá,22,1999,0.1,8,8,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches,badaed00
728,Caio Vinícius,br BRA,MF,Goiás,23,1999,17.3,495,474,20,9,0,1,4,4,0,0,0,0,399,1,10,Matches,8529df9f
729,Mateus Vital,br BRA,FWMF,Corinthians,23,1998,8.2,339,322,17,4,2,1,17,6,7,2,2,0,269,0,8,Matches,db9c8fa4
730,Vitão,br BRA,DF,Internacional,21,2000,31.0,1241,1186,52,49,0,6,0,2,0,0,0,0,1056,3,6,Matches,d4f034db
731,Vitinho,br BRA,FW,Atl Paranaense,22,1999,15.9,422,410,11,3,0,1,22,6,2,0,0,0,312,1,15,Matches,06d4b2e4
732,Vitinho,br BRA,FWMF,Flamengo,28,1993,5.3,198,191,6,0,3,1,8,0,6,0,3,0,161,1,6,Matches,a9e68c94
733,Vitinho,br BRA,FWMF,Avaí,21,2000,4.0,96,88,8,4,0,1,1,0,0,0,0,0,73,0,4,Matches,5e5cc7a9
734,João Vitor,br BRA,MF,Coritiba,21,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,b8d3d5ee
735,Vladimir,br BRA,GK,Avaí,32,1989,22.5,668,403,262,48,0,2,0,0,0,0,0,0,551,3,0,Matches,bbae502c
736,Max Walef,br BRA,GK,Fortaleza,28,1993,5.0,98,72,26,7,0,0,0,0,0,0,0,0,75,0,0,Matches,6411a48d
737,Walter,br BRA,GK,Cuiabá,34,1987,27.4,730,444,285,57,0,2,0,0,0,0,0,0,537,1,0,Matches,8bae322b
738,Wanderson,br BRA,DF,Atl Goianiense,30,1991,27.2,1112,1086,25,21,0,9,0,4,0,0,0,0,969,1,6,Matches,f612025c
739,Wanderson,br BRA,FWMF,Internacional,27,1994,17.8,555,530,23,2,4,1,59,11,8,4,0,0,436,2,19,Matches,5da33b33
740,Warley,br BRA,FWMF,Coritiba,22,1999,6.2,217,198,19,3,0,0,17,16,0,0,0,0,156,0,12,Matches,8f385e2e
741,Welington,br BRA,DFFW,São Paulo,20,2001,18.6,1095,847,242,22,0,6,125,184,36,0,34,0,826,6,30,Matches,a7f95b1f
742,José Welison,br BRA,MF,Fortaleza,26,1995,19.1,886,853,30,19,0,20,22,9,2,1,0,0,728,3,19,Matches,b6cb4d16
743,Weliton,cl CHI,MF,Juventude,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,721322fb
744,Wellington,br BRA,DF,Avaí,26,1995,3.0,131,127,4,4,0,0,0,0,0,0,0,0,108,0,1,Matches,ed36f825
745,Welliton,br BRA,MFFW,Bragantino,21,2000,1.1,51,48,3,0,0,1,8,2,1,0,1,0,38,0,1,Matches,d1a7e953
746,Wendell,br BRA,MF,Ceará,19,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,82b7e058
747,Werik,br BRA,FW,Bragantino,20,2001,5.7,91,70,20,0,0,0,2,0,0,0,0,0,75,1,2,Matches,8b20ba5f
748,Werton,br BRA,FW,Flamengo,18,2003,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,d07bde9d
749,Wescley,br BRA,MF,Ceará,30,1991,0.8,23,22,1,0,0,0,3,1,0,0,0,0,20,0,0,Matches,5a43c680
750,Wesley,br BRA,FW,Palmeiras,22,1999,7.2,218,193,21,1,0,0,30,15,5,1,3,0,143,4,12,Matches,434de3a3
751,Weverson,br BRA,MF,Bragantino,21,2000,0.5,11,8,3,1,0,0,3,0,2,2,0,0,7,0,0,Matches,b9829bf7
752,Weverton,br BRA,DF,Internacional,22,1999,0.5,35,28,7,1,0,0,3,5,1,0,1,0,28,0,1,Matches,6ae59cc2
753,Wéverton,br BRA,GK,Palmeiras,34,1987,34.0,1059,760,293,59,0,4,0,0,0,0,0,0,803,6,0,Matches,81be82e9
754,Rafael William,br BRA,GK,Coritiba,20,2001,6.0,126,72,53,5,0,0,0,0,0,0,0,0,89,1,0,Matches,eb9f6c10
755,Willian,br BRA,FWMF,Fluminense,35,1986,5.3,173,159,13,2,1,0,8,4,5,3,2,0,141,1,4,Matches,1f85d0c8
756,Willian,br BRA,FW,Corinthians,33,1988,9.2,390,365,24,8,2,5,33,3,13,7,5,0,299,1,8,Matches,8b9ebd03
757,Xavier,br BRA,MF,Corinthians,21,2000,1.8,73,71,2,2,0,0,0,0,0,0,0,0,62,0,2,Matches,f16ed217
758,Samuel Xavier,br BRA,DF,Fluminense,31,1990,31.4,1948,1617,323,43,6,3,77,273,7,1,5,0,1642,8,41,Matches,0c870df5
759,Yago,br BRA,MFDF,Fluminense,26,1995,12.6,604,546,56,11,3,4,36,32,11,3,5,0,469,2,17,Matches,e2add0e7
760,Ytalo,br BRA,FW,Bragantino,34,1988,6.9,101,89,12,0,0,0,2,1,0,0,0,0,89,0,1,Matches,423e3d0b
761,Marcos Ytalo,br BRA,DF,Ceará,25,1996,1.8,58,47,11,1,0,0,5,10,0,0,0,0,45,0,1,Matches,70053afc
762,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,22.3,914,897,17,11,0,13,2,4,0,0,0,0,767,0,19,Matches,27457e83
763,Federico Zaracho,ar ARG,MFFW,Atlético Mineiro,23,1998,20.9,934,902,26,11,6,3,16,13,1,0,0,0,774,6,21,Matches,803d5265
